Clapeyron Database File,,,,,,,,
PolynomialDiluteGas_viscosity Like Parameters,,,,,,,,
species,Mw,m0,m1,m2,m3,m4,source
"r227ea~|~1,1,1,2,3,3,3-heptafluoropropane",170.02999999999997,9.460059e-7,2.308323e-8,8.203532e-11,-1.630847e-13,1.023186e-16,10.1021/acs.jced.4c00451
r23~|~fluoroform~|~trifluoromethane,70.01400000000001,-2.067695e-6,6.662084e-8,-3.209106e-11,-7.216957e-15,2.140144e-17,10.1021/acs.jced.4c00451
"r236ea~|~1,1,1,2,3,3-hexafluoropropane",152.04000000000002,1.056338e-6,2.085544e-8,7.60569e-11,-1.398312e-13,8.272794e-17,10.1021/acs.jced.4c00451
"r236fa~|~1,1,1,3,3,3-hexafluoropropane",152.04000000000002,1.032122e-6,2.081948e-8,7.95716e-11,-1.516172e-13,9.306741e-17,10.1021/acs.jced.4c00451
"r245ca~|~1,1,2,2,3-pentafluoropropane",134.05,1.246662e-6,2.21721e-8,7.184163e-11,-1.180563e-13,6.231566e-17,10.1021/acs.jced.4c00451
"r245fa~|~1,1,1,3,3-pentafluoropropane",134.05,-1.942044e-6,4.118558e-8,2.913957e-11,-1.225412e-13,9.41189e-17,10.1021/acs.jced.4c00451
r32~|~difluoromethane,52.023,1.0596e-6,2.459583e-8,9.194887e-11,-1.84014e-13,1.172179e-16,10.1021/acs.jced.4c00451
"r365mfc~|~1,1,1,3,3-pentafluorobutane",148.07,1.1687e-6,1.998266e-8,6.369849e-11,-1.019322e-13,5.246222e-17,10.1021/acs.jced.4c00451
r40~|~chloromethane~|~methyl chloride,50.49,6.200866e-7,2.575502e-8,4.935691e-11,-8.559392e-14,4.415735e-17,10.1021/acs.jced.4c00451
r41~|~fluoromethane~|~methyl fluoride,34.033,7.190676e-7,2.245698e-8,8.742476e-11,-2.039371e-13,1.486202e-16,10.1021/acs.jced.4c00451
rc318~|~perfluorocyclobutane~|~octafluorocyclobutane,200.03,3.474758e-7,3.108061e-8,4.607984e-11,-8.781487e-14,4.741563e-17,10.1021/acs.jced.4c00451
re143a~|~hfe143m~|~trifluoromethoxymethane~|~trifluoromethyl methyl ether,100.04,1.033105e-6,2.431405e-8,8.517064e-11,-1.652564e-13,1.020263e-16,10.1021/acs.jced.4c00451
"1,1,1,2,2-pentafluoro-2-methoxyethane~|~re245cb2",150.04700000000003,9.407127e-7,2.428616e-8,6.891656e-11,-1.234183e-13,6.915526e-17,10.1021/acs.jced.4c00451
"difluoromethyl 2,2,2-trifluoroethyl ether~|~re245fa2",150.04700000000003,3.945999e-7,2.996537e-8,3.809374e-11,-6.291555e-14,2.929859e-17,10.1021/acs.jced.4c00451
"re347mcc~|~hfe347mcc~|~heptafluoro-1-methoxypropane~|~heptafluoropropyl methyl ether~|~1,1,1,2,2,3,3-heptafluoro-3-methoxypropane",200.055,1.101692e-6,2.175696e-8,6.647062e-11,-1.106843e-13,5.853466e-17,10.1021/acs.jced.4c00451
sulfur hexafluoride,146.06,2.238914e-6,3.668787e-8,4.462772e-11,-8.709676e-14,4.681685e-17,10.1021/acs.jced.4c00451
sulfur dioxide,64.07000000000001,1.397158e-6,2.485827e-8,7.71171e-11,-1.236666e-13,6.346576e-17,10.1021/acs.jced.4c00451
(e)-2-butene~|~trans-2-butene,56.11,3.175326e-7,1.876725e-8,4.206974e-11,-9.267914e-14,5.986372e-17,10.1021/acs.jced.4c00451
toluene,92.14,1.448337e-6,1.332257e-8,2.526105e-11,-2.924836e-14,1.155007e-17,10.1021/acs.jced.4c00451
chloroethene~|~vinyl chloride,62.498,1.122846e-6,2.088131e-8,7.177214e-11,-1.243306e-13,6.926039e-17,10.1021/acs.jced.4c00451
water,18.015,-2.315194e-7,2.768208e-8,2.163703e-11,-1.428308e-14,2.779438e-18,10.1021/acs.jced.4c00451
xenon,131.29,-5.902554e-7,7.625029e-8,3.461043e-11,-1.009581e-13,5.760244e-17,10.1021/acs.jced.4c00451
