T,p,eta,rho,shortref,DOI,state,s,eta_s
310.93,35.211,2.6434E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.868049583563312,2.718013407685
310.93,35.211,2.6522E-05,,Carmichael et al. (1965),10.1021/je60024a020,G,0.868049583563312,2.72706179914586
260,17.024,2.0192E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.768763881246398,2.42656402180779
260,17.393,2.0532E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.783372858834129,2.46879321811502
260,17.989,2.1062E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.806323722511808,2.53435531672905
260,18.473,2.1496E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.824392271913156,2.58785979461408
260,18.991,2.1943E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.843184966899556,2.64294776056142
260,19.471,2.2359E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.860114160792732,2.69419860313104
260,19.825,2.2652E-05,,Schley et al. (2004),10.1007/s10765-004-7726-5,SCR,0.872311077581111,2.73034539209103
250,20,2.506E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.977779077679405,3.1363731929427
250,30,3.246E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.24448679809598,4.10686751348075
250,40,3.799E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.42455604192709,4.86015437314465
250,50,4.22E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.56253054874106,5.45455912255064
250,60,4.582E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.67553000868673,5.9786893189795
250,70,4.904E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.77187000512015,6.45486640534972
270,20,2.178E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.792519589259683,2.53134763998528
270,30,2.882E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.05553628867445,3.38292962713136
270,40,3.414E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.23836225069815,4.05009848074179
270,50,3.812E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.37899242176031,4.56888632243448
270,60,4.153E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.49408955266933,5.02561231766285
270,70,4.453E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.59206354551579,5.43704063752698
290,30,2.551E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.902175927753676,2.79361395553123
290,40,3.033E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.08154979003684,3.35483300500324
290,50,3.473E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.22155720425529,3.88036807436217
290,60,3.815E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.33675409120362,4.30370599600369
290,70,4.112E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.43501750387693,4.68101035920466
310,30,2.365E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.778754890881268,2.42489492304923
310,40,2.826E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.95023452986023,2.92812516600157
310,50,3.21E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.08689185322742,3.35877099901756
310,60,3.582E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.20042859762848,3.78401427443242
310,70,3.913E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.29776634765384,4.17156064363275
330,40,2.693E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.84042006636753,2.62349411815433
330,50,3.061E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.971794160010849,3.01141216267772
330,60,3.383E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.08228860336519,3.35984828928462
330,70,3.63E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.17769553829366,3.63820709526223
350,50,2.913E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.873290191111921,2.70346449927869
350,60,3.21E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.979773908315145,3.00750569656122
350,70,3.473E-05,,Atilhan et al. (2010),10.1021/je900872m,G,1.07248695927499,3.28371184797991
370,50,2.813E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.788724253477918,2.46841611878784
370,60,3.093E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.890603703408412,2.74183864688298
370,70,3.347E-05,,Atilhan et al. (2010),10.1021/je900872m,G,0.980094542216474,2.99435963349295
